AS9498 23.2.33.0/24
AS55441 14.194.0.0/20
AS55429 103.53.12.0/22
AS45854 43.239.110.0/24
AS45815 103.212.120.0/23
AS45648 27.34.240.0/23
AS45609 27.56.0.0/17
AS38573 103.15.124.0/24
AS38188 221.120.104.0/24
AS24222 202.43.90.0/24
AS24084 192.8.160.0/23
AS23994 203.32.4.0/23
AS17813 59.176.0.0/15
AS17747 45.117.200.0/21
AS17447 61.8.128.0/23
AS134375 45.122.120.0/22
AS134007 103.51.76.0/24
AS134006 58.84.14.0/24
AS133246 43.240.8.0/23
AS132453 103.21.184.0/22
AS9752 103.4.252.0/23
AS9430 203.100.65.0/24
AS58966 36.255.88.0/24
AS58906 43.230.198.0/24
AS58765 45.113.88.0/22
AS58725 45.115.0.0/23
AS58664 103.43.112.0/24
AS58438 27.0.172.0/22
AS55917 103.242.234.0/24
AS55879 43.245.101.0/24
AS55862 43.225.16.0/23
AS55847 14.139.1.0/24
AS55831 49.136.0.0/16
AS55806 45.112.20.0/24
AS55740 14.96.0.0/17
AS55494 202.128.107.0/24
AS55448 27.50.4.0/23
AS55341 43.248.72.0/24
AS45825 203.79.24.0/24
AS45774 45.115.17.0/24
AS45661 43.251.0.0/23
AS45644 103.68.220.0/24
AS45469 45.125.156.0/24
AS45334 27.248.0.0/14
AS38625 43.252.4.0/22
AS38546 103.43.152.0/23
AS38529 116.50.64.0/18
AS38029 192.193.96.0/23
AS38015 120.29.232.0/23
AS24574 103.12.156.0/24
AS24554 36.255.108.0/22
AS24471 103.12.24.0/23
AS24392 202.179.64.0/24
AS18209 49.204.96.0/19
AS17665 103.10.224.0/22
AS17465 43.252.92.0/22
AS135776 45.251.76.0/22
AS135266 103.215.236.0/22
AS134874 103.206.224.0/23
AS134033 45.117.64.0/22
AS134014 45.126.168.0/22
AS134008 45.116.184.0/24
AS134000 45.112.0.0/22
AS133982 45.118.156.0/22
AS133664 103.42.72.0/24
AS133506 156.107.80.0/24
AS133505 156.107.88.0/24
AS133301 45.116.228.0/24
AS133285 103.227.116.0/23
AS133255 45.124.144.0/22
AS132954 27.0.140.0/22
AS132941 43.239.152.0/24
AS132774 103.26.108.0/23
AS132751 43.246.240.0/24
AS132515 103.18.156.0/22
AS132390 43.242.120.0/24
AS132351 103.14.160.0/24
AS132308 103.9.232.0/23
AS132220 45.125.152.0/24
AS132137 45.252.68.0/24
AS132116 27.123.240.0/23
AS132028 103.5.78.0/24
AS131442 103.29.116.0/23
AS10225 202.41.0.0/23
AS10125 202.168.94.0/24
AS9796 202.177.128.0/22
AS9558 103.209.180.0/23
AS9414 203.34.246.0/24
AS64088 103.209.110.0/24
AS59212 103.243.111.0/24
AS59196 45.114.36.0/23
AS59172 45.125.254.0/23
AS59170 45.113.76.0/24
AS58976 103.29.28.0/24
AS58972 103.251.221.0/24
AS58965 14.192.52.0/22
AS58594 43.250.120.0/22
AS58590 103.8.248.0/24
AS56272 43.254.108.0/24
AS56110 43.231.124.0/23
AS56107 103.20.57.0/24
AS56061 180.148.12.0/24
AS55947 43.247.156.0/22
AS55780 103.70.248.0/24
AS55764 103.244.190.0/24
AS55526 27.96.84.0/24
AS55479 103.246.106.0/24
AS55353 103.15.64.0/23
AS45954 43.254.176.0/24
AS45830 203.55.160.0/24
AS45775 27.131.208.0/22
AS45749 203.89.132.0/24
AS45663 202.89.104.0/24
AS45596 103.252.142.0/24
AS45574 203.171.222.0/24
AS45536 43.225.164.0/24
AS45514 122.169.120.0/23
AS45466 203.8.109.0/24
AS45433 43.229.72.0/24
AS45272 115.69.80.0/23
AS45232 43.242.36.0/23
AS45148 119.252.192.0/23
AS38874 103.14.188.0/22
AS38596 203.56.241.0/24
AS38571 45.115.96.0/23
AS38204 103.247.246.0/24
AS38185 220.156.184.0/24
AS38058 202.91.132.0/23
AS24485 203.111.248.0/24
AS24327 202.45.10.0/23
AS24049 203.119.18.0/24
AS23903 60.254.150.0/23
AS23901 202.6.99.0/24
AS23872 45.64.92.0/24
AS23772 27.48.0.0/18
AS23664 115.110.156.0/24
AS18167 202.162.48.0/20
AS17912 203.170.48.0/24
AS17825 202.41.204.0/24
AS17771 45.127.188.0/22
AS135767 103.70.90.0/24
AS135737 103.66.236.0/22
AS135242 103.213.208.0/24
AS135171 103.215.156.0/24
AS135031 103.73.152.0/22
AS134943 103.204.184.0/23
AS134940 103.203.252.0/22
AS134928 103.207.168.0/23
AS134922 103.210.28.0/23
AS134916 103.211.152.0/23
AS134909 103.212.28.0/22
AS134885 103.252.52.0/23
AS134295 103.201.124.0/23
AS134053 36.255.232.0/22
AS134036 103.58.118.0/24
AS134001 103.50.152.0/22
AS133977 43.239.76.0/22
AS133969 103.53.86.0/23
AS133967 103.54.100.0/22
AS133966 103.54.180.0/24
AS133883 103.57.17.0/24
AS133768 103.41.214.0/24
AS133726 103.42.248.0/23
AS133715 43.225.72.0/22
AS133710 103.47.58.0/24
AS133695 45.114.48.0/24
AS133678 27.96.84.0/22
AS133676 43.230.196.0/22
AS133661 45.248.156.0/22
AS133660 45.112.200.0/24
AS133658 45.115.58.0/24
AS133652 45.118.164.0/22
AS133520 103.233.243.0/24
AS133317 103.234.136.0/24
AS133315 43.250.132.0/24
AS133298 43.227.128.0/22
AS133276 103.37.76.0/24
AS133272 45.127.192.0/22
AS133262 103.238.193.0/24
AS133247 103.232.148.0/23
AS133238 103.42.51.0/24
AS133234 43.224.220.0/24
AS133006 103.38.88.0/24
AS132986 45.126.191.0/24
AS132976 43.229.88.0/22
AS132971 27.0.168.0/22
AS132968 103.36.251.0/24
AS132960 45.115.172.0/22
AS132944 103.67.186.0/23
AS132923 43.228.228.0/24
AS132867 103.26.72.0/24
AS132785 45.114.148.0/22
AS132761 43.247.160.0/24
AS132711 103.19.168.0/24
AS132563 45.64.216.0/23
AS132516 103.27.2.0/24
AS132497 103.31.144.0/22
AS132445 101.0.62.0/24
AS132417 103.20.125.0/24
AS132272 103.12.1.0/24
AS132251 103.8.192.0/23
AS132151 103.6.27.0/24
AS132135 103.51.9.0/24
AS132043 103.8.188.0/23
AS132004 43.229.24.0/23
AS131459 43.250.40.0/23
AS131458 103.38.48.0/24
AS131302 103.71.189.0/24
AS131283 175.100.160.0/24
AS131255 103.194.131.0/24
AS131215 27.113.252.0/24
AS131210 103.2.232.0/22
AS131169 182.23.128.0/21
AS10215 203.31.8.0/23
AS9941 202.62.116.0/23
AS9666 202.9.92.0/24
AS9580 145.36.140.0/23
AS9396 123.136.131.0/24
AS9285 202.177.44.0/24
AS9223 203.161.189.0/24
AS63935 103.48.91.0/24
AS59261 103.228.83.0/24
AS59195 103.47.91.0/24
AS59181 103.54.108.0/24
AS59179 27.100.24.0/24
AS59171 103.57.88.0/24
AS59164 43.230.213.0/24
AS58970 103.204.204.0/24
AS58969 103.199.160.0/22
AS58909 103.24.200.0/22
AS58902 103.250.168.0/24
AS58898 45.116.112.0/22
AS58875 103.17.195.0/24
AS58872 103.6.88.0/24
AS58761 103.16.4.0/23
AS58759 103.245.147.0/24
AS58714 103.21.18.0/23
AS58703 103.10.24.0/22
AS58702 103.20.104.0/24
AS58700 103.15.179.0/24
AS58597 43.245.12.0/23
AS58522 103.247.209.0/24
AS58462 103.23.214.0/24
AS58457 103.23.29.0/24
AS58419 103.10.252.0/24
AS58405 43.249.184.0/22
AS58371 103.29.197.0/24
AS56315 27.54.185.0/24
AS56290 103.5.70.0/24
AS56268 43.224.128.0/24
AS56211 202.0.109.0/24
AS56193 202.0.116.0/24
AS56166 203.18.51.0/24
AS56108 203.8.116.0/23
AS56093 155.63.240.0/23
AS56077 162.61.20.0/23
AS56064 202.160.160.0/21
AS56056 103.221.244.0/24
AS55839 103.240.100.0/24
AS55832 27.123.216.0/23
AS55823 202.61.111.0/24
AS55779 103.17.18.0/24
AS55741 103.60.135.0/24
AS55717 202.52.153.0/24
AS55712 202.52.150.0/24
AS55709 202.52.148.0/24
AS55578 202.52.130.0/24
AS55574 202.52.128.0/24
AS55570 202.52.63.0/24
AS55563 202.3.66.0/24
AS55510 202.9.75.0/24
AS55507 45.114.144.0/22
AS55474 202.58.232.0/24
AS55459 202.125.92.0/24
AS55433 196.1.109.0/24
AS55428 175.184.252.0/23
AS55333 182.173.64.0/22
AS4797 202.9.205.0/24
AS4758 164.100.0.0/16
AS46068 183.78.184.0/24
AS45944 111.235.66.0/24
AS45927 202.3.15.0/24
AS45915 202.4.164.0/24
AS45885 202.56.58.0/24
AS45863 202.171.234.0/24
AS45857 124.158.28.0/24
AS45853 202.62.247.0/24
AS45850 202.62.244.0/24
AS45813 203.217.136.0/23
AS45767 203.89.152.0/23
AS45765 203.18.137.0/24
AS45760 202.130.40.0/23
AS45742 110.76.160.0/20
AS45694 123.108.200.0/21
AS45693 202.58.120.0/23
AS45670 202.89.118.0/24
AS45666 202.89.100.0/22
AS45655 202.168.88.0/22
AS45649 103.51.0.0/24
AS45636 203.223.176.0/24
AS45635 203.215.51.0/24
AS45624 203.207.62.0/24
AS45573 203.171.209.0/24
AS45535 203.170.25.0/24
AS45526 202.4.178.0/24
AS45525 203.160.136.0/24
AS45518 203.153.210.0/23
AS45513 203.153.52.0/22
AS45491 203.13.146.0/24
AS45415 27.0.49.0/24
AS45350 202.129.212.0/24
AS45340 202.129.209.0/24
AS45337 202.129.215.0/24
AS45284 121.200.48.0/23
AS45264 202.90.40.0/24
AS45235 43.227.244.0/22
AS45219 114.31.249.0/24
AS45202 203.189.90.0/24
AS45189 122.99.124.0/22
AS45154 103.249.226.0/24
AS45119 202.174.122.0/23
AS38907 203.100.57.0/24
AS38902 202.174.92.0/23
AS38872 202.174.120.0/24
AS38857 202.166.184.0/24
AS38799 202.93.154.0/24
AS38743 118.91.232.0/23
AS38720 117.104.232.0/24
AS38594 203.55.173.0/24
AS38557 203.13.168.0/23
AS38538 196.15.16.0/20
AS38536 203.100.75.0/24
AS38476 119.235.56.0/23
AS38468 123.136.16.0/23
AS38461 123.242.240.0/22
AS38314 203.34.117.0/24
AS38312 202.174.5.0/24
AS38310 122.200.16.0/24
AS38306 103.1.128.0/24
AS38275 103.10.222.0/24
AS38261 202.95.251.0/24
AS38233 202.4.182.0/24
AS38224 114.31.224.0/20
AS38207 103.5.188.0/24
AS38205 49.156.64.0/19
AS38174 123.242.252.0/24
AS38139 203.12.222.0/24
AS38053 180.150.248.0/23
AS38021 203.190.248.0/24
AS38000 203.175.4.0/23
AS37982 203.14.18.0/24
AS37934 202.86.251.0/24
AS24558 103.68.199.0/24
AS24539 198.182.52.0/23
AS24515 203.100.72.0/24
AS24501 202.77.137.0/24
AS24448 203.21.7.0/24
AS24397 203.190.146.0/24
AS24391 202.91.136.0/22
AS24332 122.144.16.0/23
AS24216 119.31.171.0/24
AS24178 203.33.198.0/23
AS24127 202.40.6.0/24
AS24103 202.41.148.0/22
AS24080 103.208.154.0/24
AS24055 160.83.96.0/23
AS24041 202.41.206.0/24
AS24004 45.65.8.0/22
AS24003 202.59.2.0/24
AS23984 202.12.16.0/24
AS23976 202.21.134.0/23
AS23957 202.146.192.0/23
AS23770 158.144.176.0/24
AS23768 202.60.128.0/24
AS18225 202.154.175.0/24
AS18223 121.58.172.0/23
AS18120 110.232.180.0/22
AS18008 118.88.0.0/23
AS17908 59.162.88.0/22
AS17818 202.131.114.0/24
AS17815 209.242.244.0/23
AS17810 203.212.67.0/24
AS17786 103.54.135.0/24
AS17753 202.157.64.0/24
AS17648 110.50.32.0/19
AS17624 202.46.22.0/23
AS17453 202.46.192.0/21
AS17443 1.186.216.0/24
AS17436 203.27.235.0/24
AS135810 103.78.137.0/24
AS135775 103.68.36.0/24
AS135773 103.66.224.0/22
AS135772 45.127.232.0/23
AS135766 103.70.36.0/23
AS135735 103.67.188.0/22
AS135727 103.69.109.0/24
AS135724 103.69.20.0/22
AS135706 103.72.8.0/24
AS135705 103.71.64.0/24
AS135700 103.65.192.0/23
AS135681 103.68.27.0/24
AS135595 103.67.27.0/24
AS135569 202.142.4.0/24
AS135422 103.219.61.0/24
AS135320 103.211.81.0/24
AS135299 103.211.197.0/24
AS135267 103.215.164.0/24
AS135264 103.215.135.0/24
AS135257 45.248.136.0/24
AS135247 45.251.32.0/24
AS135244 43.226.2.0/23
AS135236 103.220.224.0/24
AS135229 103.61.108.0/23
AS135207 103.215.148.0/24
AS135198 103.216.168.0/23
AS135193 103.215.196.0/23
AS135186 45.248.164.0/22
AS135183 103.217.88.0/22
AS135181 103.49.233.0/24
AS135133 103.210.72.0/22
AS135082 103.208.198.0/24
AS135036 45.250.68.0/23
AS134975 103.211.186.0/23
AS134938 103.206.50.0/24
AS134933 103.205.220.0/22
AS134927 36.255.200.0/22
AS134917 103.210.112.0/24
AS134910 103.212.20.0/22
AS134899 45.118.216.0/22
AS134892 103.209.88.0/24
AS134887 103.204.192.0/23
AS134881 103.206.60.0/23
AS134877 103.207.0.0/22
AS134863 103.207.4.0/22
AS134862 103.207.12.0/24
AS134854 103.205.152.0/22
AS134848 103.204.70.0/24
AS134838 103.202.226.0/24
AS134803 103.199.240.0/23
AS134796 202.165.63.0/24
AS134793 202.142.7.0/24
AS134452 103.194.152.0/23
AS134344 103.196.192.0/24
AS134343 58.84.60.0/24
AS134335 103.201.132.0/24
AS134331 103.197.132.0/22
AS134329 103.62.16.0/23
AS134326 43.246.136.0/22
AS134325 45.251.36.0/23
AS134324 103.194.120.0/24
AS134321 103.193.96.0/23
AS134320 103.230.52.0/23
AS134319 103.75.32.0/23
AS134316 14.102.188.0/23
AS134312 103.21.236.0/24
AS134308 45.65.57.0/24
AS134307 43.230.44.0/24
AS134306 103.60.104.0/24
AS134305 103.60.212.0/24
AS134293 36.255.240.0/23
AS134291 45.249.132.0/22
AS134289 103.14.196.0/23
AS134284 103.196.110.0/24
AS134279 220.158.167.0/24
AS134275 103.199.144.0/22
AS134270 103.195.24.0/22
AS134267 103.198.83.0/24
AS134258 103.51.55.0/24
AS134256 103.193.252.0/22
AS134254 43.243.172.0/24
AS134253 103.236.116.0/24
AS134248 103.192.198.0/24
AS134225 103.58.234.0/23
AS134173 103.56.173.0/24
AS134122 103.46.198.0/24
AS134060 103.48.212.0/24
AS134056 45.117.28.0/22
AS134042 103.61.198.0/24
AS134032 45.118.32.0/22
AS134029 103.57.226.0/24
AS134024 103.55.184.0/24
AS134023 103.55.108.0/22
AS134021 103.54.220.0/22
AS134020 103.55.64.0/22
AS134019 45.65.48.0/24
AS134004 59.153.96.0/23
AS133999 103.48.72.0/22
AS133994 103.53.80.0/23
AS133985 103.57.69.0/24
AS133984 103.57.216.0/22
AS133978 103.54.143.0/24
AS133976 103.55.164.0/22
AS133974 103.225.76.0/24
AS133972 103.51.32.0/22
AS133968 103.203.228.0/24
AS133965 103.54.144.0/23
AS133963 103.53.244.0/22
AS133961 103.52.220.0/23
AS133856 103.42.114.0/24
AS133724 43.230.184.0/22
AS133718 103.49.56.0/23
AS133717 103.78.20.0/23
AS133713 43.229.200.0/22
AS133708 43.228.176.0/22
AS133701 103.39.251.0/24
AS133698 103.39.0.0/24
AS133693 103.49.48.0/22
AS133689 103.48.184.0/22
AS133686 103.43.228.0/24
AS133685 43.225.20.0/22
AS133684 103.46.240.0/22
AS133680 103.24.135.0/24
AS133674 118.185.24.0/21
AS133671 103.46.196.0/23
AS133650 103.44.140.0/24
AS133648 43.231.56.0/22
AS133644 103.41.170.0/24
AS133640 103.193.79.0/24
AS133638 103.40.72.0/23
AS133593 45.115.76.0/22
AS133591 103.38.189.0/24
AS133590 43.239.52.0/23
AS133552 103.40.80.0/24
AS133491 103.231.232.0/24
AS133469 43.252.220.0/24
AS133388 162.44.250.0/24
AS133318 103.225.46.0/24
AS133312 103.237.135.0/24
AS133311 103.208.73.0/24
AS133307 203.200.12.0/24
AS133306 103.19.214.0/24
AS133282 103.228.19.0/24
AS133274 103.36.71.0/24
AS133271 45.123.92.0/22
AS133269 36.255.208.0/22
AS133258 103.66.87.0/24
AS133256 103.61.230.0/24
AS133253 103.233.160.0/24
AS133251 103.232.176.0/24
AS133245 103.69.28.0/23
AS133240 103.47.78.0/24
AS133237 144.48.168.0/22
AS133235 103.231.32.0/24
AS133230 103.233.101.0/24
AS133228 103.254.101.0/24
AS133226 43.243.36.0/22
AS133087 103.225.107.0/24
AS133055 103.241.25.0/24
AS133037 103.251.43.0/24
AS133036 168.153.1.0/24
AS133028 103.240.136.0/23
AS133010 38.76.26.0/23
AS133007 103.252.168.0/23
AS133005 103.253.71.0/24
AS132998 43.255.56.0/22
AS132994 103.224.109.0/24
AS132981 103.243.236.0/24
AS132977 103.241.232.0/24
AS132974 43.230.36.0/22
AS132970 103.255.158.0/24
AS132965 103.254.236.0/23
AS132957 103.242.184.0/22
AS132952 45.249.53.0/24
AS132950 103.252.245.0/24
AS132948 103.243.224.0/23
AS132943 103.251.100.0/22
AS132937 103.227.62.0/24
AS132935 103.253.32.0/23
AS132893 43.225.116.0/22
AS132878 103.26.201.0/24
AS132783 103.48.44.0/24
AS132779 43.252.80.0/22
AS132768 103.18.68.0/22
AS132763 103.249.16.0/24
AS132760 103.25.172.0/22
AS132754 43.230.104.0/22
AS132753 103.25.204.0/24
AS132587 103.245.74.0/24
AS132572 103.16.208.0/23
AS132567 103.19.212.0/24
AS132566 103.19.128.0/23
AS132564 103.16.140.0/24
AS132559 36.255.84.0/24
AS132557 103.70.69.0/24
AS132542 103.245.200.0/23
AS132540 45.126.20.0/23
AS132539 103.245.0.0/24
AS132527 103.244.124.0/22
AS132524 158.144.0.0/21
AS132520 103.245.22.0/24
AS132507 103.31.213.0/24
AS132440 103.21.66.0/24
AS132423 103.21.124.0/22
AS132415 103.20.126.0/23
AS132388 103.15.250.0/24
AS132378 103.15.159.0/24
AS132377 149.24.152.0/21
AS132346 103.13.183.0/24
AS132343 103.13.178.0/23
AS132329 103.12.168.0/24
AS132322 103.14.120.0/22
AS132317 103.13.108.0/22
AS132278 103.13.2.0/24
AS132239 103.8.62.0/24
AS132208 103.7.64.0/22
AS132152 103.6.32.0/24
AS132150 103.6.26.0/24
AS132121 168.87.80.0/20
AS132108 45.112.16.0/22
AS132089 103.70.78.0/24
AS132075 103.23.24.0/22
AS132052 103.11.84.0/23
AS132051 43.255.164.0/24
AS132005 103.29.234.0/24
AS131787 103.10.168.0/24
AS131473 103.4.221.0/24
AS131468 103.252.140.0/23
AS131317 103.8.44.0/24
AS131265 103.225.104.0/23
AS131262 202.191.64.0/22
AS131256 202.137.228.0/23
AS131242 103.68.105.0/24
AS131232 103.238.158.0/23
AS131190 203.16.165.0/24
AS131181 103.247.104.0/22
AS131170 103.36.149.0/24
AS9836 203.175.185.0/24
AS9653 202.3.64.0/24
AS9501 202.53.96.0/21
AS9238 59.160.33.0/24
AS9227 203.176.153.0/24
AS59379 103.234.236.0/22
AS59335 103.255.168.0/23
AS59327 103.226.208.0/22
AS59221 103.243.146.0/23
AS59216 103.25.126.0/23
AS59215 103.26.8.0/22
AS59199 158.199.64.0/19
AS59198 103.199.184.0/23
AS59193 103.232.241.0/24
AS59189 103.203.136.0/22
AS59188 103.210.104.0/24
AS59185 45.119.112.0/24
AS59183 103.52.136.0/22
AS59169 103.254.56.0/22
AS59166 103.38.8.0/24
AS59163 45.127.224.0/22
AS59161 43.224.96.0/22
AS58986 103.25.124.0/24
AS58984 49.156.128.0/24
AS58963 103.228.32.0/23
AS58905 43.225.81.0/24
AS58904 43.228.236.0/23
AS58903 103.196.8.0/22
AS58880 103.227.151.0/24
AS58766 14.192.12.0/23
AS58763 103.66.96.0/22
AS58762 45.117.180.0/22
AS58760 103.16.45.0/24
AS58641 103.14.96.0/23
AS58592 103.6.119.0/24
AS58537 103.6.164.0/24
AS58529 103.247.96.0/22
AS58442 103.29.248.0/24
AS58432 103.4.249.0/24
AS58429 103.22.238.0/23
AS58428 103.22.236.0/23
AS56312 202.1.4.0/24
AS56285 103.10.9.0/24
AS56283 202.0.115.0/24
AS56224 202.12.80.0/22
AS56202 103.194.114.0/24
AS55918 202.94.67.0/24
AS55814 27.125.200.0/22
AS55804 202.61.102.0/24
AS55782 14.102.226.0/24
AS55757 103.243.28.0/24
AS55756 150.107.120.0/23
AS55734 43.245.0.0/22
AS55711 103.9.222.0/23
AS55566 202.52.53.0/24
AS55535 27.100.12.0/22
AS55529 202.9.91.0/24
AS55446 49.128.108.0/22
AS55351 14.192.30.0/24
AS55296 202.70.131.0/24
AS45955 202.134.52.0/24
AS45884 103.242.152.0/22
AS45851 112.133.241.0/24
AS45801 203.135.188.0/24
AS45747 203.89.134.0/23
AS45660 202.58.125.0/24
AS45591 203.175.177.0/24
AS45417 202.129.239.0/24
AS45357 103.28.105.0/24
AS45271 1.187.0.0/19
AS45243 103.246.224.0/22
AS45210 164.139.240.0/22
AS45205 203.189.91.0/24
AS45161 199.43.188.0/24
AS45153 203.142.220.0/24
AS45150 103.9.225.0/24
AS38810 202.134.59.0/24
AS38746 202.162.188.0/23
AS38615 202.122.134.0/24
AS38271 203.175.180.0/24
AS38266 1.38.0.0/17
AS38241 202.137.248.0/24
AS38219 203.32.221.0/24
AS24468 202.63.252.0/24
AS24374 203.105.185.0/24
AS23941 203.158.91.0/24
AS23937 203.6.208.0/22
AS23658 202.7.58.0/24
AS18166 103.23.140.0/24
AS18105 93.183.30.0/24
AS17913 203.77.192.0/24
AS17830 203.134.250.0/24
AS17803 101.56.0.0/19
AS17748 203.190.220.0/24
AS17495 203.124.128.0/23
AS17423 202.131.127.0/24
AS135884 103.79.0.0/24
AS135876 103.78.159.0/24
AS135875 103.79.74.0/24
AS135867 103.79.228.0/24
AS135860 103.79.168.0/22
AS135855 103.79.100.0/24
AS135815 103.78.22.0/23
AS135808 103.78.221.0/24
AS135807 103.79.21.0/24
AS135805 103.79.73.0/24
AS135801 103.78.164.0/24
AS135777 103.68.52.0/22
AS135774 103.68.40.0/22
AS135771 103.66.80.0/22
AS135765 103.70.38.0/23
AS135764 103.70.139.0/24
AS135763 103.70.152.0/22
AS135762 103.69.240.0/22
AS135761 103.70.164.0/22
AS135758 103.76.188.0/23
AS135755 103.66.228.0/22
AS135753 103.74.144.0/22
AS135751 103.74.180.0/24
AS135747 103.42.18.0/24
AS135746 103.76.136.0/22
AS135743 103.76.56.0/22
AS135740 103.61.68.0/24
AS135738 103.69.236.0/22
AS135733 103.68.16.0/22
AS135732 103.220.22.0/23
AS135730 103.68.25.0/24
AS135729 103.60.186.0/23
AS135725 103.68.24.0/24
AS135723 103.67.16.0/22
AS135722 103.68.8.0/23
AS135719 103.66.168.0/24
AS135718 103.66.112.0/24
AS135717 103.69.184.0/22
AS135716 103.74.88.0/22
AS135715 103.71.96.0/23
AS135712 103.70.204.0/24
AS135711
